"filename", "language", "Python", "pip requirements", "JSON", "JavaScript", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\pierre\Desktop\SwissRoy_public\load.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\pierre\Desktop\SwissRoy_public\manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\pierre\Desktop\SwissRoy_public\requirements.txt", "pip requirements", 0, 25, 0, 0, 0, 0, 0, 8, 33
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\settings\base.py", "Python", 138, 0, 0, 0, 0, 0, 38, 56, 232
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\settings\heroku.py", "Python", 21, 0, 0, 0, 0, 0, 14, 17, 52
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\urls.py", "Python", 34, 0, 0, 0, 0, 0, 2, 18, 54
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\admin.py", "Python", 82, 0, 0, 0, 0, 0, 1, 31, 114
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0001_initial.py", "Python", 470, 0, 0, 0, 0, 0, 1, 7, 478
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0002_auto_20210728_1502.py", "Python", 18, 0, 0, 0, 0, 0, 1, 6, 25
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\models.py", "Python", 282, 0, 0, 0, 0, 0, 0, 44, 326
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\css\loader.css", "CSS", 0, 0, 0, 0, 49, 0, 0, 7, 56
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\css\loged_out_form.css", "CSS", 0, 0, 0, 0, 27, 0, 0, 1, 28
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\accounting.js", "JavaScript", 0, 0, 0, 35, 0, 0, 3, 7, 45
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\app.css", "CSS", 0, 0, 0, 0, 170, 0, 10, 37, 217
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\brand.js", "JavaScript", 0, 0, 0, 75, 0, 0, 11, 18, 104
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\cash_flow_forecast.js", "JavaScript", 0, 0, 0, 166, 0, 0, 16, 26, 208
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\consolidation_currency.js", "JavaScript", 0, 0, 0, 24, 0, 0, 4, 6, 34
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\contracts\contract.js", "JavaScript", 0, 0, 0, 178, 0, 0, 46, 33, 257
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\contracts\rules.js", "JavaScript", 0, 0, 0, 493, 0, 0, 103, 70, 666
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\country.js", "JavaScript", 0, 0, 0, 110, 0, 0, 12, 17, 139
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\currency.js", "JavaScript", 0, 0, 0, 90, 0, 0, 10, 16, 116
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\division.js", "JavaScript", 0, 0, 0, 110, 0, 0, 12, 17, 139
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\dropdown_multiple.js", "JavaScript", 0, 0, 0, 116, 0, 0, 7, 43, 166
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\dropdown_single.js", "JavaScript", 0, 0, 0, 86, 0, 0, 6, 30, 122
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\easy-number-separator.js", "JavaScript", 0, 0, 0, 14, 0, 0, 0, 0, 14
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\formulation.js", "JavaScript", 0, 0, 0, 95, 0, 0, 11, 18, 124
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\home.js", "JavaScript", 0, 0, 0, 107, 0, 0, 9, 15, 131
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\invoices.js", "JavaScript", 0, 0, 0, 177, 0, 0, 22, 28, 227
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\jquery.dataTables.min.js", "JavaScript", 0, 0, 0, 170, 0, 0, 14, 0, 184
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\jquery.min.js", "JavaScript", 0, 0, 0, 1, 0, 0, 1, 0, 2
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\layout.css", "CSS", 0, 0, 0, 0, 71, 0, 6, 1, 78
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\layout.js", "JavaScript", 0, 0, 0, 34, 0, 0, 5, 16, 55
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\monthly_accruals.js", "JavaScript", 0, 0, 0, 169, 0, 0, 16, 41, 226
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\partner.js", "JavaScript", 0, 0, 0, 453, 0, 0, 102, 79, 634
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\partner_report.js", "JavaScript", 0, 0, 0, 154, 0, 0, 15, 26, 195
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\royalty_app\password_reset_form.js", "JavaScript", 0, 0, 0, 21, 0, 0, 0, 3, 24
