"filename", "language", "Python", "HTML", "CSS", "JavaScript", "pip requirements", "JSON", "comment", "blank", "total"
"c:\Users\pierre\Desktop\SwissRoy_public\load.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\pierre\Desktop\SwissRoy_public\load_accounting.json", "JSON", 0, 0, 0, 0, 0, 1, 0, 0, 1
"c:\Users\pierre\Desktop\SwissRoy_public\manage.py", "Python", 15, 0, 0, 0, 0, 0, 3, 5, 23
"c:\Users\pierre\Desktop\SwissRoy_public\requirements.txt", "pip requirements", 0, 0, 0, 0, 25, 0, 0, 9, 34
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\asgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\settings\base.py", "Python", 142, 0, 0, 0, 0, 0, 40, 62, 244
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\settings\heroku.py", "Python", 22, 0, 0, 0, 0, 0, 15, 19, 56
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\urls.py", "Python", 39, 0, 0, 0, 0, 0, 2, 18, 59
"c:\Users\pierre\Desktop\SwissRoy_public\royalty\wsgi.py", "Python", 4, 0, 0, 0, 0, 0, 8, 5, 17
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\admin.py", "Python", 88, 0, 0, 0, 0, 0, 1, 33, 122
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\apps.py", "Python", 3, 0, 0, 0, 0, 0, 0, 3, 6
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0001_initial.py", "Python", 493, 0, 0, 0, 0, 0, 1, 7, 501
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0002_milestone.py", "Python", 21, 0, 0, 0, 0, 0, 1, 6, 28
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0003_milestone_market.py", "Python", 13, 0, 0, 0, 0, 0, 1, 6, 20
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0004_auto_20210828_2148.py", "Python", 19, 0, 0, 0, 0, 0, 1, 6, 26
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0005_remove_invoice_currency.py", "Python", 11, 0, 0, 0, 0, 0, 1, 6, 18
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0006_invoice_currency.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0007_auto_20210828_2243.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0008_auto_20210830_2242.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0009_auto_20210830_2246.py", "Python", 17, 0, 0, 0, 0, 0, 1, 6, 24
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0010_alter_cash_flow_payment_currency.py", "Python", 14, 0, 0, 0, 0, 0, 1, 6, 21
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\0011_auto_20210901_1846.py", "Python", 20, 0, 0, 0, 0, 0, 1, 6, 27
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\migrations\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\models.py", "Python", 306, 0, 0, 0, 0, 0, 1, 41, 348
"c:\Users\pierre\Desktop\SwissRoy_public\royalty_app\static\css\loader.css", "CSS", 0, 0, 122, 0, 0, 0, 3, 19, 144
